date,Max.TemperatureF,Mean.TemperatureF,Min.TemperatureF,Max.Dew.PointF,MeanDew.PointF,Min.DewpointF,Max.Humidity,Mean.Humidity,Min.Humidity,Max.Sea.Level.PressureIn,Mean.Sea.Level.PressureIn,Min.Sea.Level.PressureIn,Max.VisibilityMiles,Mean.VisibilityMiles,Min.VisibilityMiles,Max.Wind.SpeedMPH,Mean.Wind.SpeedMPH,Max.Gust.SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
2014-12-01,64,52,39,46,40,26,74,63,52,30.45,30.13,30.01,10,10,10,22,13,29,0.01,6,Rain,268
2014-12-02,42,38,33,40,27,17,92,72,51,30.71,30.59,30.4,10,8,2,24,15,29,0.10,7,Rain-Snow,62
2014-12-03,51,44,37,49,42,24,100,79,57,30.4,30.07,29.87,10,5,1,29,12,38,0.44,8,Rain,254
2014-12-04,43,37,30,24,21,13,69,54,39,30.56,30.33,30.09,10,10,10,25,12,33,0.00,3,Rain,292
2014-12-05,42,34,26,37,25,12,85,66,47,30.68,30.59,30.45,10,10,5,22,10,26,0.11,5,Rain,61
2014-12-06,45,42,38,45,40,36,100,93,85,30.42,30.24,30.16,10,4,0,22,8,25,1.09,8,Rain,313
2014-12-07,38,30,21,36,20,-3,92,61,29,30.69,30.46,30.24,10,10,5,25,15,32,0.13,6,Rain,350
2014-12-08,29,24,18,28,16,3,92,70,47,30.77,30.67,30.51,10,8,2,21,13,28,0.03,8,Snow,354
2014-12-09,49,39,29,49,41,28,100,93,86,30.51,30.04,29.49,10,2,1,38,20,52,2.90,8,Rain,38
2014-12-10,48,43,38,45,39,37,100,95,89,29.58,29.5,29.43,10,3,1,23,13,29,0.28,8,Rain,357
2014-12-11,39,36,32,37,31,27,92,87,82,29.81,29.61,29.44,10,7,1,21,13,28,0.02,8,Rain-Snow,230
2014-12-12,39,35,31,28,27,25,85,75,64,29.88,29.85,29.81,10,10,7,16,11,21,T,7,Snow,286
2014-12-13,42,37,32,28,26,24,75,65,55,29.86,29.82,29.78,10,10,10,17,12,23,T,5,Snow,298
2014-12-14,45,39,33,29,27,25,82,68,53,29.91,29.83,29.78,10,10,10,15,10,20,0.00,4,Snow,306
2014-12-15,42,37,32,33,29,27,89,75,60,30.15,30.05,29.91,10,10,10,15,6,21,0.00,2,Rain,324
2014-12-16,44,40,35,42,36,30,96,85,73,30.17,30.09,29.92,10,9,5,8,4,10,T,8,Rain,79
2014-12-17,49,45,41,46,41,32,100,85,70,29.91,29.75,29.69,10,6,1,20,11,26,0.43,8,Rain,311
2014-12-18,44,40,36,34,30,26,89,73,57,29.87,29.78,29.71,10,10,10,23,14,30,0.01,7,Snow,281
2014-12-19,37,33,29,25,22,20,69,63,56,30.15,29.98,29.86,10,10,10,17,11,23,0.00,4,Snow,305
2014-12-20,36,32,27,30,24,20,89,79,69,30.31,30.26,30.17,10,10,7,21,10,26,T,6,Snow,350
2014-12-21,36,33,30,30,27,25,85,77,69,30.37,30.32,30.28,10,9,6,16,9,20,T,8,Snow,2
